cdf,batch_num_tokens
0.0,419681277.6145536
0.01,419681277.6145536
0.02,419681277.6145536
0.03,419681277.6145536
0.04,419681277.6145536
0.05,419681277.6145536
0.06,419681277.6145536
0.07,419681277.6145536
0.08,419681277.6145536
0.09,419681277.6145536
0.1,419681277.6145536
0.11,419681277.6145536
0.12,419681277.6145536
0.13,419681277.6145536
0.14,419681277.6145536
0.15,419681277.6145536
0.16,419681277.6145536
0.17,419681277.6145536
0.18,419681277.6145536
0.19,419681277.6145536
0.2,419681277.6145536
0.21,419681277.6145536
0.22,419681277.6145536
0.23,419681277.6145536
0.24,419681277.6145536
0.25,419681277.6145536
0.26,419681277.6145536
0.27,419681277.6145536
0.28,419681277.6145536
0.29,419681277.6145536
0.3,419681277.6145536
0.31,419681277.6145536
0.32,419681277.6145536
0.33,419681277.6145536
0.34,419681277.6145536
0.35000000000000003,419681277.6145536
0.36,419681277.6145536
0.37,419681277.6145536
0.38,419681277.6145536
0.39,419681277.6145536
0.4,419681277.6145536
0.41000000000000003,419681277.6145536
0.42,419681277.6145536
0.43,419681277.6145536
0.44,419681277.6145536
0.45,419681277.6145536
0.46,419681277.6145536
0.47000000000000003,419681277.6145536
0.48,419681277.6145536
0.49,419681277.6145536
0.5,419681277.6145536
0.51,419681277.6145536
0.52,419681277.6145536
0.53,419681277.6145536
0.54,419681277.6145536
0.55,419681277.6145536
0.56,419681277.6145536
0.5700000000000001,419681277.6145536
0.58,419681277.6145536
0.59,419681277.6145536
0.6,419681277.6145536
0.61,419681277.6145536
0.62,419681277.6145536
0.63,419681277.6145536
0.64,419681277.6145536
0.65,419681277.6145536
0.66,419681277.6145536
0.67,419681277.6145536
0.68,419681277.6145536
0.6900000000000001,419681277.6145536
0.7000000000000001,419681277.6145536
0.71,419681277.6145536
0.72,419681277.6145536
0.73,419681277.6145536
0.74,419681277.6145536
0.75,419681277.6145536
0.76,419681277.6145536
0.77,419681277.6145536
0.78,419681277.6145536
0.79,419681277.6145536
0.8,419681277.6145536
0.81,419681277.6145536
0.8200000000000001,419681277.6145536
0.8300000000000001,419681277.6145536
0.84,419681277.6145536
0.85,419681277.6145536
0.86,419681277.6145536
0.87,419681277.6145536
0.88,419681277.6145536
0.89,419681277.6145536
0.9,419681277.6145536
0.91,419681277.6145536
0.92,419681277.6145536
0.93,419681277.6145536
0.9400000000000001,419681277.6145536
0.9500000000000001,419681277.6145536
0.96,419681277.6145536
0.97,419681277.6145536
0.98,419681277.6145536
0.99,419681277.6145536
1.0,419681277.6145536
